"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","jch","","0","0","16","0","0"
"","提现(黄新)","","0","0","1","0","0"
"","交易通用校验(黄新)-充值","","0","0","1","0","0"
"","存入后查询余额","","0","0","1","0","0"
"","赎回(黄新)","","0","0","1","0","0"
"","持有列表--(郝志阳)","","0","0","1","0","0"
"","提现后查询余额","","0","0","1","0","0"
"","支取后查询余额","","0","0","1","0","0"
"","充值(黄新)","","0","0","1","0","0"
"","用户开户状态查询（温旭雲）","","0","0","1","0","0"
"","赎回利息试算(黄新)","","0","0","1","0","0"
"","持有列表-赎回后--(郝志阳)","","0","0","1","0","0"
"","购买(黄新)","","0","0","1","0","0"
"","资产首页--(郝志阳)","","0","0","1","0","0"
"","充值后查询余额","","0","0","1","0","0"
"","机构绑卡列表查询","","0","0","1","0","0"
"","充值确认(黄新)","","0","0","1","0","0"
